defect_id,audit_id,timestamp_sec,gps_lat,gps_lon,param_id,param_name,defect_type,severity,confidence,description,evidence_frame_path
AUD-20260910-152218-DEF-010,AUD-20260910-152218,1.04,18.520405999999998,73.8567045,PARAM_1,Zebra Crossing Condition,WORN_CROSSING,WARNING,0.36,Crossing marking degraded (27.3% paint loss); reduced driver visibility.,E:\SIH\Project\output\evidence_frames\evidence_010_WORN_CROSSING.jpg
AUD-20260910-152218-DEF-011,AUD-20260910-152218,1.04,18.520405999999998,73.8567045,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_011_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-012,AUD-20260910-152218,1.04,18.520405999999998,73.8567045,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_012_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-013,AUD-20260910-152218,1.38,18.520408,73.856706,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_013_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-014,AUD-20260910-152218,1.38,18.520408,73.856706,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_014_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-015,AUD-20260910-152218,1.73,18.52041,73.8567075,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_015_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-016,AUD-20260910-152218,1.73,18.52041,73.8567075,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_016_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-017,AUD-20260910-152218,2.07,18.520412,73.85670900000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_017_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-018,AUD-20260910-152218,2.07,18.520412,73.85670900000001,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_018_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-019,AUD-20260910-152218,2.42,18.520414,73.8567105,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_019_MISSING_SIGNAGE.jpg
AUD-20260910-152218-DEF-020,AUD-20260910-152218,2.42,18.520414,73.8567105,PARAM_5,Speed Calming & Surface,SURFACE_CALMING_DEFECT,CRITICAL DEFECT,0.84,Absence of raised speed calming table / severe road potholes inducing vehicle hazard.,E:\SIH\Project\output\evidence_frames\evidence_020_SURFACE_CALMING_DEFECT.jpg
AUD-20260910-152218-DEF-021,AUD-20260910-152218,2.76,18.520415999999997,73.856712,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_021_MISSING_SIGNAGE.jpg
